rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Lab LCP 48.9s on mobile,URGENT,Performance,Medium,2-5 days,5,10,yes,conversion,"The page's main content takes 48.9 seconds to appear on a mid-range phone, causing most visitors to bounce before they can convert.","The page's main content takes 48.9 seconds to appear on a mid-range phone, causing most visitors to bounce before they can convert.",notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 48.9 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_1_lab_lcp_48_9s_on_mobile.html
2,Competing CTAs split funnel,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Multiple competing CTAs on the homepage create ambiguity about the primary conversion path, diluting user focus.","Multiple competing CTAs on the homepage create ambiguity about the primary conversion path, diluting user focus.",h1: Reliable Internet That Works Anywhere in the U.S.; cta: CHECK COVERAGE; notes: Consolidate to a single primary CTA (CHECK COVERAGE) and demote secondary CTAs to text links or secondary button style.,"7 distinct calls to action compete on the same page: “CHECK COVERAGE”, “CHECK IF IT WORKS AT MY ADDRESS”, “SEE MY OPTIONS”, “GET STARTED”, “START CHAT”, “SEE WHAT I QUALIFY FOR”, “CHECK MY COVERAGE”.","Funnel Path, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_competing_ctas_split_funnel.html
3,Unclear what is sold,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,The homepage headline promises internet that works anywhere but never states what the product actually is (a wireless router plus monthly service) before the visitor commits to a coverage check.,The homepage headline promises internet that works anywhere but never states what the product actually is (a wireless router plus monthly service) before the visitor commits to a coverage check.,h1: Reliable Internet That Works Anywhere in the U.S.; cta: CHECK COVERAGE; notes: Add a one-line descriptor above the fold stating the offer is a wireless router plus a monthly unlimited data plan.,Reliable Internet That Works Anywhere in the U.S. | CHECK COVERAGE | Internet That Just Works,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_unclear_what_is_sold.html
4,Lab CLS 0.73 on mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.","The layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.",notes: Cumulative Layout Shift ≤ 0.1 (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Cumulative Layout Shift 0.73 against a ‘good’ threshold of 0.1. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_lab_cls_0_73_on_mobile.html
5,Lab TBT 1780ms on mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Script work freezes the main thread, so taps and scrolls go dead during load.","Script work freezes the main thread, so taps and scrolls go dead during load.",notes: Total Blocking Time ≤ 200ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Total Blocking Time 1,780 ms against a ‘good’ threshold of 200ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_lab_tbt_1780ms_on_mobile.html
6,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 33 inline and 32 external <script> tags, 403 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_6_heavy_third_party_script_load.html
7,Benefit claims lack specifics,MEDIUM,Homepage,Low,0.5-2 days,5,10,no,conversion,"The copy repeatedly says the internet is fast and reliable but does not state concrete advantages over alternatives, such as no contracts, no data caps, or coverage in areas where cable is unavailable.","The copy repeatedly says the internet is fast and reliable but does not state concrete advantages over alternatives, such as no contracts, no data caps, or coverage in areas where cable is unavailable.","notes: Replace generic superlatives with specific, verifiable differentiators (e.g., no annual contract, unlimited data, works where cable does not reach).",The Fastest Rural & On-the-Go Internet in the USA | Join America's Largest Wireless Internet Provider Featuring,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_benefit_claims_lack_specifics.html
8,Duplicate pricing creates confusion,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"The plans pages show the same price points repeated as both monthly and one-time fees, making it hard for visitors to predict what they will actually pay.","The plans pages show the same price points repeated as both monthly and one-time fees, making it hard for visitors to predict what they will actually pay.","notes: Clearly label each price with its billing cycle and one-time vs recurring nature, and separate monthly plans from equipment fees visually.",A section heading reads “$99.95 /month”. | A section heading reads “$129.95 /month”. | A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”.,Navigation & Information Scent,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_duplicate_pricing_creates_confusion.html
9,Duplicate forms create redundant steps,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"Two separate coverage-check forms with identical CONTINUE buttons on the same page force users to choose between redundant paths, creating uncertainty and friction.","Two separate coverage-check forms with identical CONTINUE buttons on the same page force users to choose between redundant paths, creating uncertainty and friction.","cta: CONTINUE; notes: Consolidate the two coverage-check forms into a single, clearly labeled form per page.",Duplicate coverage forms on page: The homepage and plans pages each carry two separate coverage-check forms with identical CONTINUE submit buttons.,"Funnel Path, Form & Interaction Friction",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_duplicate_forms_create_redundant_steps.html
10,Guarantee and return policy unstated,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"No page digest text mentions a money-back guarantee, return window, or satisfaction promise, despite the site selling hardware and monthly plans, which is notable given the one-time equipment fees shown.","No page digest text mentions a money-back guarantee, return window, or satisfaction promise, despite the site selling hardware and monthly plans, which is notable given the one-time equipment fees shown.",notes: Add an explicit guarantee or return policy statement near pricing and the coverage form.,Prices shown on the page: $99.95 /month $129.95 /month $99.95/Mo $99.95 /month $129.95 /month $99.95 | A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”.,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_guarantee_and_return_policy_unstated.html
